Name,Birthplace,Death Place,Birth Year,Death Year,B_Lat,B_Lon,B_State,D_Lat,D_Lon,D_State
Mir Taqi Mir,Agra,Lucknow,1723,1810,27.1766701,78.00807449999999,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Nazeer Akbarabadi,Agra,Delhi,1735,1830,27.1766701,78.00807449999999,Uttar Pradesh,28.7040592,77.10249019999999,Delhi
Qalandar Bakhsh Jurat,Delhi,Lucknow,1748,1809,28.7040592,77.10249019999999,Delhi,26.8466937,80.94616599999999,Uttar Pradesh
Mashafi Shaikh Ghulam Hamdani,Amroha,Lucknow,1751,1844,28.9051778,78.46731799999999,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Insha Allah Khan 'Insha',Delhi,Murshidabad,1752,1817,28.7040592,77.10249019999999,Delhi,24.1759039,88.2801785,West Bengal
Saadat Yaar Khan Rangin,Sirhind,Lucknow,1757,1835,30.6245124,76.3863018,Punjab,26.8466937,80.94616599999999,Uttar Pradesh
Khwaja Haidar Ali Atish,Faizabad,Lucknow,1764,1846,26.7729751,82.1457934,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Maharaja Chandu Lal,Hyderabad,Hyderabad,1766,1845,17.385044,78.486671,Telangana,17.385044,78.486671,Telangana
Mah Laqa Bai,"Hyderabad, Andhra Pradesh",Hyderabad,1768,1824,17.385044,78.486671,Telangana,17.385044,78.486671,Telangana
Imam Baksh Nasikh,Faizabad,Lucknow,1771,1838,26.7729751,82.1457934,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Bahadur Shah,Delhi,Yangon,1775,1862,28.7040592,77.10249019999999,Delhi,16.840939,96.173526,Yangon Region
Muhammad Ibrahim Khan,Delhi,Delhi,1790,1854,28.7040592,77.10249019999999,Delhi,28.7040592,77.10249019999999,Delhi
Mirza Asadullah Khan Ghalib,Agra,Delhi,1797,1869,27.1766701,78.00807449999999,Uttar Pradesh,28.7040592,77.10249019999999,Delhi
Momin Khan Momin,Delhi,Delhi,1800,1852,28.7040592,77.10249019999999,Delhi,28.7040592,77.10249019999999,Delhi
Mir Babar Ali Anis,Faizabad,Lucknow,1800,1874,26.7729751,82.1457934,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Mirza Salaamat Ali Dabeer,Delhi,Lucknow,1803,1875,28.7040592,77.10249019999999,Delhi,26.8466937,80.94616599999999,Uttar Pradesh
Daya Shankar Kaul Nasim,Faizabad,Lucknow,1811,1854,26.7729751,82.1457934,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Amir Meenai,Lucknow,Hyderabad,1829,1900,26.8466937,80.94616599999999,Uttar Pradesh,17.385044,78.486671,Telangana
